,year,state,district,chloride,sdp,ginivalue,intercept,sdp2,sdp3
3329,2001,haryana,fatehabad,,116474.1890178,0.3,1,13566236707.354202,1580116418512590.2
3330,2002,haryana,fatehabad,,123614.6773118,0.3,1,15280588446.900442,1888905009998017.2
3331,2003,haryana,fatehabad,,135775.0939499,0.3,1,18434876137.104176,2502997039470089.0
3332,2004,haryana,fatehabad,445.0,147482.6165469,0.3,1,21751122183.519943,3207912412456842.5
3333,2005,haryana,fatehabad,686.0,160805.9553307,0.3,1,25858555269.819084,4158209683634965.0
3334,2006,haryana,fatehabad,298.66666,179089.4675824,0.3,1,32073037398.947495,5743943191527910.0
3335,2007,haryana,fatehabad,480.14285,193107.6941953,0.3,1,37290581557.4255,7201098219756217.0
3336,2008,haryana,fatehabad,669.5,207976.1043076,0.3,1,43254059962.96572,8995810886584943.0
3337,2009,haryana,fatehabad,325.16666,233961.231557,0.3,1,54737857871.66817,1.2806536640447512e+16
3338,2010,haryana,fatehabad,440.33334,249823.4552757,0.3,1,62411758805.88967,1.5591921234720954e+16
3339,2011,haryana,fatehabad,230.28572,271152.480682,0.3,1,73523667780.00238,1.993612490738688e+16
3340,2012,haryana,fatehabad,251.42,289756.220454,0.3,1,83958667291.78705,2.4327546108823084e+16
3341,2013,haryana,fatehabad,233.0,314931.196825,0.3,1,99181658733.62689,3.1235398488069828e+16
3342,2014,haryana,fatehabad,236.75,333359.247481,0.3,1,111128387881.09862,3.704567575781972e+16
3343,2015,haryana,fatehabad,431.0,372700.245017,0.3,1,138905472635.73184,5.177010368553945e+16
3344,2016,haryana,fatehabad,243.58571,412054.614697,0.3,1,169789005493.09314,6.996234323824331e+16
3345,2017,haryana,fatehabad,171.85715,434407.172743,0.3,1,188709591730.56662,8.197680021316125e+16
3346,2018,haryana,fatehabad,193.5,470327.643158,0.3,1,221208091918.559,1.0404028051953408e+17
3347,2000,punjab,fatehgarhsahib,51.666668,130869.8138609,0.32,1,17126908179.986614,2241395285527573.8
3348,2001,punjab,fatehgarhsahib,,132574.7758189,0.32,1,17576071183.43159,2330143696920472.0
3349,2002,punjab,fatehgarhsahib,43.799999,134832.8663829,0.32,1,18179901857.02897,2451248277943023.0
3350,2003,punjab,fatehgarhsahib,,143252.0223939,0.32,1,20521141919.94243,2939695081863992.5
3351,2004,punjab,fatehgarhsahib,39.0,150374.3300627,0.32,1,22612439141.80584,3400330387032628.0
3352,2005,punjab,fatehgarhsahib,69.5,157746.8313787,0.32,1,24884062810.02001,3925382060109207.0
3353,2006,punjab,fatehgarhsahib,65.18,174759.6699571,0.32,1,30540942243.514523,5337324986655451.0
3354,2007,punjab,fatehgarhsahib,33.575001,189894.1594683,0.32,1,36059791800.17215,6847543854495587.0
3355,2008,punjab,fatehgarhsahib,44.857143,200421.2722428,0.32,1,40168686367.42256,8050659226080846.0
3356,2009,punjab,fatehgarhsahib,79.487503,213223.6778484,0.32,1,45464336795.198265,9694073102410512.0
3357,2010,punjab,fatehgarhsahib,31.777779,226995.4768816,0.32,1,51526946524.70501,1.1696383798628116e+16
3358,2011,punjab,fatehgarhsahib,78.428574,239226.952142,0.32,1,57229534631.15076,1.3690847142315234e+16
3359,2012,punjab,fatehgarhsahib,49.625,251812.593817,0.32,1,63409582404.84542,1.5967331418216928e+16
3360,2013,punjab,fatehgarhsahib,74.0,267515.21,0.32,1,71564387581.34412,1.9144562172344664e+16
3361,2014,punjab,fatehgarhsahib,91.333336,278484.6,0.32,1,77553672437.15999,2.1597503447193524e+16
3362,2015,punjab,fatehgarhsahib,62.555557,294894.856617,0.32,1,86962976459.161,2.5644934473911828e+16
3363,2016,punjab,fatehgarhsahib,40.045456,315782.992402,0.32,1,99718898290.36159,3.1489532101161064e+16
3364,2017,punjab,fatehgarhsahib,59.011112,335056.78566,0.32,1,112263049616.81117,3.761449655299785e+16
3365,2018,punjab,fatehgarhsahib,40.166668,353942.469249,0.32,1,125275271538.07932,4.434023894402677e+16
3366,2000,uttarpradesh,fatehpur,,351084.1089774,0.19,1,123260051576.45488,4.327464538022803e+16
3367,2001,uttarpradesh,fatehpur,,357471.0467097,0.19,1,127785549235.72853,4.5679634039669784e+16
3368,2002,uttarpradesh,fatehpur,77.333336,369038.1836814,0.19,1,136189181014.86674,5.025900799878383e+16
3369,2003,uttarpradesh,fatehpur,,388468.8674867,0.19,1,150908061006.3993,5.862308355376977e+16
3370,2004,uttarpradesh,fatehpur,52.91,407921.4919919,0.19,1,166399943628.89777,6.787811327246803e+16
3371,2005,uttarpradesh,fatehpur,,431731.0483276,0.19,1,186391698090.0485,8.047108321597816e+16
3372,2006,uttarpradesh,fatehpur,,466023.3283118,0.19,1,217177742530.80777,1.0120989440945019e+17
3373,2007,uttarpradesh,fatehpur,,495889.8633084,0.19,1,245906756532.02362,1.2194266788327718e+17
3374,2008,uttarpradesh,fatehpur,,533571.8096457,0.19,1,284698876048.58716,1.519072944973415e+17
3375,2009,uttarpradesh,fatehpur,,566760.9860888,0.19,1,321218015352.34894,1.820538391305846e+17
3376,2010,uttarpradesh,fatehpur,,612018.7067716,0.19,1,374566897438.38165,2.2924194816968883e+17
3377,2011,uttarpradesh,fatehpur,,645131.553217,0.19,1,416194720956.1789,2.6850034677117558e+17
3378,2012,uttarpradesh,fatehpur,,673552.189347,0.19,1,453672551774.1369,3.0557214049411014e+17
3379,2013,uttarpradesh,fatehpur,,707469.104121,0.19,1,500512533285.7704,3.540971535250162e+17
3380,2014,uttarpradesh,fatehpur,,729686.3008,0.19,1,532442097575.18805,3.885157045698316e+17
3381,2015,uttarpradesh,fatehpur,,792048.75936,0.19,1,627341237203.7152,4.968848486225701e+17
3382,2016,uttarpradesh,fatehpur,58.438999,888453.00797,0.19,1,789348747370.9409,7.012992689390642e+17
3383,2017,uttarpradesh,fatehpur,,922457.512487,0.19,1,850927862343.7037,7.849447992034533e+17
3384,2018,uttarpradesh,fatehpur,60.264999,949184.454018,0.19,1,900951127749.4489,8.55168804289762e+17
3385,2000,uttarpradesh,firozabad,61.799999,351084.1089774,0.24,1,123260051576.45488,4.327464538022803e+16
3386,2001,uttarpradesh,firozabad,57.0,357471.0467097,0.24,1,127785549235.72853,4.5679634039669784e+16
3387,2002,uttarpradesh,firozabad,256.0,369038.1836814,0.24,1,136189181014.86674,5.025900799878383e+16
3388,2003,uttarpradesh,firozabad,,388468.8674867,0.24,1,150908061006.3993,5.862308355376977e+16
3389,2004,uttarpradesh,firozabad,,407921.4919919,0.24,1,166399943628.89777,6.787811327246803e+16
3390,2005,uttarpradesh,firozabad,,431731.0483276,0.24,1,186391698090.0485,8.047108321597816e+16
3391,2006,uttarpradesh,firozabad,,466023.3283118,0.24,1,217177742530.80777,1.0120989440945019e+17
3392,2007,uttarpradesh,firozabad,,495889.8633084,0.24,1,245906756532.02362,1.2194266788327718e+17
3393,2008,uttarpradesh,firozabad,,533571.8096457,0.24,1,284698876048.58716,1.519072944973415e+17
3394,2009,uttarpradesh,firozabad,,566760.9860888,0.24,1,321218015352.34894,1.820538391305846e+17
3395,2010,uttarpradesh,firozabad,,612018.7067716,0.24,1,374566897438.38165,2.2924194816968883e+17
3396,2011,uttarpradesh,firozabad,,645131.553217,0.24,1,416194720956.1789,2.6850034677117558e+17
3397,2012,uttarpradesh,firozabad,,673552.189347,0.24,1,453672551774.1369,3.0557214049411014e+17
3398,2013,uttarpradesh,firozabad,,707469.104121,0.24,1,500512533285.7704,3.540971535250162e+17
3399,2014,uttarpradesh,firozabad,,729686.3008,0.24,1,532442097575.18805,3.885157045698316e+17
3400,2015,uttarpradesh,firozabad,,792048.75936,0.24,1,627341237203.7152,4.968848486225701e+17
3401,2016,uttarpradesh,firozabad,60.275002,888453.00797,0.24,1,789348747370.9409,7.012992689390642e+17
3402,2017,uttarpradesh,firozabad,,922457.512487,0.24,1,850927862343.7037,7.849447992034533e+17
3403,2018,uttarpradesh,firozabad,26.594999,949184.454018,0.24,1,900951127749.4489,8.55168804289762e+17
3404,2000,punjab,firozpur,,130869.8138609,0.3,1,17126908179.986614,2241395285527573.8
3405,2001,punjab,firozpur,,132574.7758189,0.3,1,17576071183.43159,2330143696920472.0
3406,2002,punjab,firozpur,,134832.8663829,0.3,1,18179901857.02897,2451248277943023.0
3407,2003,punjab,firozpur,,143252.0223939,0.3,1,20521141919.94243,2939695081863992.5
3408,2004,punjab,firozpur,,150374.3300627,0.3,1,22612439141.80584,3400330387032628.0
3409,2005,punjab,firozpur,,157746.8313787,0.3,1,24884062810.02001,3925382060109207.0
3410,2006,punjab,firozpur,,174759.6699571,0.3,1,30540942243.514523,5337324986655451.0
3411,2007,punjab,firozpur,,189894.1594683,0.3,1,36059791800.17215,6847543854495587.0
3412,2008,punjab,firozpur,,200421.2722428,0.3,1,40168686367.42256,8050659226080846.0
3413,2009,punjab,firozpur,,213223.6778484,0.3,1,45464336795.198265,9694073102410512.0
3414,2010,punjab,firozpur,,226995.4768816,0.3,1,51526946524.70501,1.1696383798628116e+16
3415,2011,punjab,firozpur,,239226.952142,0.3,1,57229534631.15076,1.3690847142315234e+16
3416,2012,punjab,firozpur,,251812.593817,0.3,1,63409582404.84542,1.5967331418216928e+16
3417,2013,punjab,firozpur,,267515.21,0.3,1,71564387581.34412,1.9144562172344664e+16
3418,2014,punjab,firozpur,,278484.6,0.3,1,77553672437.15999,2.1597503447193524e+16
3419,2015,punjab,firozpur,,294894.856617,0.3,1,86962976459.161,2.5644934473911828e+16
3420,2016,punjab,firozpur,674.0,315782.992402,0.3,1,99718898290.36159,3.1489532101161064e+16
3421,2017,punjab,firozpur,625.0,335056.78566,0.3,1,112263049616.81117,3.761449655299785e+16
3422,2018,punjab,firozpur,681.0,353942.469249,0.3,1,125275271538.07932,4.434023894402677e+16
3423,2000,karnataka,gadag,640.17645,276258.3865464,0.26,1,76318696137.22017,2.1083679858193416e+16
3424,2001,karnataka,gadag,,281266.0548067,0.26,1,79110593586.52556,2.2251124551498264e+16
3425,2002,karnataka,gadag,329.16666,296352.7163877,0.26,1,87824932510.36855,2.6027157316014144e+16
3426,2003,karnataka,gadag,,302124.2662471,0.26,1,91279072255.34859,2.7577622728863216e+16
3427,2004,karnataka,gadag,480.79999,332758.3433893,0.26,1,110728115095.19128,3.684570414569559e+16
3428,2005,karnataka,gadag,595.625,366993.4895299,0.26,1,134684221357.33284,4.9428232380545064e+16
3429,2006,karnataka,gadag,439.69232,405152.1452699,0.26,1,164148260816.80212,6.650502001225045e+16
3430,2007,karnataka,gadag,461.5,455993.4845757,0.26,1,207930057975.48917,9.481475168427062e+16
3431,2008,karnataka,gadag,,488433.5425002,0.26,1,238567325439.29468,1.1652428388911277e+17
3432,2009,karnataka,gadag,,488554.9250672,0.26,1,238685914807.4174,1.1661117922333387e+17
3433,2010,karnataka,gadag,611.75,538790.6955123,0.26,1,290295413570.628,1.564084677817494e+17
3434,2011,karnataka,gadag,,554952.202299,0.26,1,307971946836.5102,1.709097101432319e+17
3435,2012,karnataka,gadag,550.72223,593192.032871,0.26,1,351876787861.6296,2.0873050711175766e+17
3436,2013,karnataka,gadag,427.07825,646786.94852,0.26,1,418333356775.8131,2.705725552931566e+17
3437,2014,karnataka,gadag,436.21054,671283.49797,0.26,1,450621534646.83905,3.0249480003833965e+17
3438,2015,karnataka,gadag,,749951.613069,0.26,1,562427421944.795,4.217933523217381e+17
3439,2016,karnataka,gadag,347.41666,851393.991487,0.26,1,724871728740.1659,6.171514344481718e+17
3440,2017,karnataka,gadag,440.78571,915641.892607,0.26,1,838400075496.9288,7.676742318898596e+17
3441,2018,karnataka,gadag,308.13998,974815.300088,0.26,1,950264869285.6575,9.263327337157824e+17
3442,2000,maharashtra,gadchiroli,107.35135,462181.6751331,0.24,1,213611900828.8384,9.872750615343816e+16
3443,2001,maharashtra,gadchiroli,95.976746,478508.6139339,0.24,1,228970493608.94217,1.0956435352857584e+17
3444,2002,maharashtra,gadchiroli,96.333336,511507.1640366,0.24,1,261639578860.7652,1.3383051898280035e+17
3445,2003,maharashtra,gadchiroli,,551012.7797041,0.24,1,303615083397.239,1.672957910628048e+17
3446,2004,maharashtra,gadchiroli,96.693878,599027.6349564,0.24,1,358834107441.45807,2.1495154672234736e+17
3447,2005,maharashtra,gadchiroli,91.770836,685815.548872,0.24,1,470342967074.60254,3.2256852012235354e+17
3448,2006,maharashtra,gadchiroli,93.595039,780279.6914051,0.24,1,608836396819.2382,4.7506267582630816e+17
3449,2007,maharashtra,gadchiroli,104.15385,871095.9483975,0.24,1,758808151314.5399,6.609947062210929e+17
3450,2008,maharashtra,gadchiroli,102.64516,884778.747654,0.24,1,782833432300.1805,6.92634383852236e+17
3451,2009,maharashtra,gadchiroli,97.916664,970265.1970352,0.24,1,941414552577.7554,9.134217763486605e+17
3452,2010,maharashtra,gadchiroli,,1080814.5878042,0.24,1,1168160173210.3625,1.2625645560976407e+18
3453,2011,maharashtra,gadchiroli,,1126594.697875,0.24,1,1269215613280.0627,1.429891580381485e+18
3454,2012,maharashtra,gadchiroli,159.5,1189710.839782,0.24,1,1415411882294.7917,1.6839308591223583e+18
3455,2013,maharashtra,gadchiroli,140.13043,1267551.269731,0.24,1,1606686221396.6704,2.0365571599906524e+18
3456,2014,maharashtra,gadchiroli,102.96923,1345341.463303,0.24,1,1809943652882.2573,2.434992242464593e+18
3457,2015,maharashtra,gadchiroli,139.77272,1452513.394888,0.24,1,2109795162329.0632,3.064505733752867e+18
3458,2016,maharashtra,gadchiroli,124.75,1596120.747603,0.24,1,2547601440928.7593,4.066279516489691e+18
3459,2017,maharashtra,gadchiroli,87.341263,1661065.007215,0.24,1,2759136958194.168,4.5831058513699686e+18
3460,2018,maharashtra,gadchiroli,99.217216,1728577.953055,0.24,1,2987981739787.8135,5.164959359528137e+18
3461,2000,odisha,gajapati,73.0,98181.5544719,0.29,1,9639617638.518667,946432644264508.6
3462,2001,odisha,gajapati,,104158.690779,0.29,1,10849032864.79534,1130021059415426.2
3463,2002,odisha,gajapati,78.952286,103410.2356615,0.29,1,10693676839.566967,1105835642067544.6
3464,2003,odisha,gajapati,,118510.6459277,0.29,1,14044773198.200676,1664455143626811.0
3465,2004,odisha,gajapati,48.966667,133986.5968318,0.29,1,17952408130.56732,2405382070350252.0
3466,2005,odisha,gajapati,,139934.2737927,0.29,1,19581600981.890324,2740137113099244.0
3467,2006,odisha,gajapati,,157355.6063099,0.29,1,24760786837.156242,3896248625470911.5
3468,2007,odisha,gajapati,,170849.5885002,0.29,1,29189581890.687675,4987028054516880.0
3469,2008,odisha,gajapati,,183688.625707,0.29,1,33741511214.126343,6197931824200197.0
3470,2009,odisha,gajapati,82.166664,185167.8378527,0.29,1,34287128175.0438,6348873390351252.0
3471,2010,odisha,gajapati,,196839.6778694,0.29,1,38745858783.729164,7626722361762511.0
3472,2011,odisha,gajapati,,204225.949639,0.29,1,41708238505.95136,8517904616647824.0
3473,2012,odisha,gajapati,167.56,216301.072227,0.29,1,46786153846.549866,1.0119895242386118e+16
3474,2013,odisha,gajapati,158.41176,233121.873955,0.29,1,54345808116.2909,1.2669196629668582e+16
3475,2014,odisha,gajapati,103.42152,235930.737717,0.29,1,55663312999.68785,1.3132686499788632e+16
3476,2015,odisha,gajapati,91.463707,253191.672643,0.29,1,64106023095.76007,1.6231111214106282e+16
3477,2016,odisha,gajapati,118.81065,293348.24823,0.29,1,86053194739.60971,2.5243553931459564e+16
3478,2017,odisha,gajapati,136.83871,316191.890506,0.29,1,99977311621.75832,3.161201516939125e+16
3479,2018,odisha,gajapati,84.441559,338339.411038,0.29,1,114473557061.54073,3.873091587562658e+16
3480,2000,gujarat,gandhinagar,149.0,187486.1300255,0.3,1,35151048951.93869,6590334134335893.0
3481,2001,gujarat,gandhinagar,156.0,202722.5912177,0.3,1,41096448990.0187,8331178629102622.0
3482,2002,gujarat,gandhinagar,315.5,220397.2332726,0.3,1,48574940434.21686,1.0705782478082742e+16
3483,2003,gujarat,gandhinagar,,257104.4366173,0.3,1,66102691328.29923,1.6995295212849656e+16
3484,2004,gujarat,gandhinagar,,272449.3578123,0.3,1,74228652572.33466,2.0223548724604908e+16
3485,2005,gujarat,gandhinagar,606.5,311996.5449489,0.3,1,97341844060.05098,3.037031902569051e+16
3486,2006,gujarat,gandhinagar,206.0,338383.4783698,0.3,1,114503378433.64493,3.874605147947031e+16
3487,2007,gujarat,gandhinagar,78.0,378395.6474308,0.3,1,143183265994.5743,5.41799246372734e+16
3488,2008,gujarat,gandhinagar,178.0,394570.375799,0.3,1,155685781458.16406,6.1428997296508776e+16
3489,2009,gujarat,gandhinagar,170.0,450323.9227272,0.3,1,202791635380.4132,9.132192474077173e+16
3490,2010,gujarat,gandhinagar,145.5,499605.6040329,0.3,1,249605759581.0789,1.2470443628559573e+17
3491,2011,gujarat,gandhinagar,195.5,532809.458729,0.3,1,283885919311.0899,1.5125710300892637e+17
3492,2012,gujarat,gandhinagar,181.0,596658.833674,0.3,1,356001763801.218,2.1241159717552157e+17
3493,2013,gujarat,gandhinagar,195.5,641488.810619,0.3,1,411507894149.3793,2.6397770957821462e+17
3494,2014,gujarat,gandhinagar,273.0,705628.836007,0.3,1,497912054204.5936,3.5134110324224166e+17
3495,2015,gujarat,gandhinagar,249.0,774775.215127,0.3,1,600276633975.0891,4.6507945822376115e+17
3496,2016,gujarat,gandhinagar,383.0,843930.335881,0.3,1,712218411820.2175,6.010627235080686e+17
3497,2017,gujarat,gandhinagar,433.0,946511.194431,0.3,1,895883441183.1984,8.479637059852636e+17
3498,2018,gujarat,gandhinagar,531.5,1034399.010404,0.3,1,1069981312724.7744,1.1067876110332794e+18
3499,2000,rajasthan,ganganagar,711.59088,174260.9950852,0.25,1,30366894408.0841,5291765237199931.0
3500,2001,rajasthan,ganganagar,808.86365,194104.6611551,0.25,1,37676619482.13619,7313207458049685.0
3501,2002,rajasthan,ganganagar,382.60001,170786.1680972,0.25,1,29167915213.32505,4981476470667809.0
3502,2003,rajasthan,ganganagar,,225127.994208,0.25,1,50682613776.11728,1.141007518063603e+16
3503,2004,rajasthan,ganganagar,265.0,219623.1494967,0.25,1,48234327794.84984,1.0593374984161138e+16
3504,2005,rajasthan,ganganagar,254.72728,234376.8327693,0.25,1,54932499738.96842,1.2874905304919818e+16
3505,2006,rajasthan,ganganagar,983.57141,261962.6382181,0.25,1,68624423822.18715,1.7977035110657176e+16
3506,2007,rajasthan,ganganagar,636.0,273898.802725,0.25,1,75020554134.18848,2.054803995712027e+16
3507,2008,rajasthan,ganganagar,698.5238,296930.5963142,0.25,1,88167779027.50642,2.61797112023361e+16
3508,2009,rajasthan,ganganagar,723.21051,314237.3713139,0.25,1,98745125530.26985,3.102940867669307e+16
3509,2010,rajasthan,ganganagar,574.91998,361435.8554958,0.25,1,130635877637.9808,4.721649019252823e+16
3510,2011,rajasthan,ganganagar,312.45001,395330.931678,0.25,1,156286545541.3955,6.178490565761607e+16
3511,2012,rajasthan,ganganagar,266.72223,409802.490807,0.25,1,167938081471.62134,6.882144408841933e+16
3512,2013,rajasthan,ganganagar,269.09091,434292.219285,0.25,1,188609731731.49054,8.19117389724175e+16
3513,2014,rajasthan,ganganagar,565.0769,465407.73111,0.25,1,216604356176.95807,1.0080934195686037e+17
3514,2015,rajasthan,ganganagar,249.5,501921.511436,0.25,1,251925203642.19867,1.2644667898091445e+17
3515,2016,rajasthan,ganganagar,185.05882,529650.384499,0.25,1,280529529799.9386,1.4858257332186115e+17
3516,2017,rajasthan,ganganagar,248.76666,557618.206976,0.25,1,310938064751.12915,1.7338472614711203e+17
3517,2018,rajasthan,ganganagar,72.967743,568101.882953,0.25,1,322739749414.74414,1.8334905934629552e+17
3518,2000,odisha,ganjam,175.34375,98181.5544719,0.27,1,9639617638.518667,946432644264508.6
3519,2001,odisha,ganjam,,104158.690779,0.27,1,10849032864.79534,1130021059415426.2
3520,2002,odisha,ganjam,174.37717,103410.2356615,0.27,1,10693676839.566967,1105835642067544.6
3521,2003,odisha,ganjam,,118510.6459277,0.27,1,14044773198.200676,1664455143626811.0
3522,2004,odisha,ganjam,76.675003,133986.5968318,0.27,1,17952408130.56732,2405382070350252.0
3523,2005,odisha,ganjam,,139934.2737927,0.27,1,19581600981.890324,2740137113099244.0
3524,2006,odisha,ganjam,,157355.6063099,0.27,1,24760786837.156242,3896248625470911.5
3525,2007,odisha,ganjam,,170849.5885002,0.27,1,29189581890.687675,4987028054516880.0
3526,2008,odisha,ganjam,159.29855,183688.625707,0.27,1,33741511214.126343,6197931824200197.0
3527,2009,odisha,ganjam,193.39131,185167.8378527,0.27,1,34287128175.0438,6348873390351252.0
3528,2010,odisha,ganjam,,196839.6778694,0.27,1,38745858783.729164,7626722361762511.0
3529,2011,odisha,ganjam,,204225.949639,0.27,1,41708238505.95136,8517904616647824.0
3530,2012,odisha,ganjam,164.17352,216301.072227,0.27,1,46786153846.549866,1.0119895242386118e+16
3531,2013,odisha,ganjam,167.54546,233121.873955,0.27,1,54345808116.2909,1.2669196629668582e+16
3532,2014,odisha,ganjam,200.40993,235930.737717,0.27,1,55663312999.68785,1.3132686499788632e+16
3533,2015,odisha,ganjam,139.06667,253191.672643,0.27,1,64106023095.76007,1.6231111214106282e+16
3534,2016,odisha,ganjam,184.77739,293348.24823,0.27,1,86053194739.60971,2.5243553931459564e+16
3535,2017,odisha,ganjam,166.38637,316191.890506,0.27,1,99977311621.75832,3.161201516939125e+16
3536,2018,odisha,ganjam,189.08643,338339.411038,0.27,1,114473557061.54073,3.873091587562658e+16
3537,2000,jharkhand,garhwa,,65731.2805286,0.22,1,4320601239.929508,283998652154023.5
3538,2001,jharkhand,garhwa,,70259.9668104,0.22,1,4936462936.19851,346835722058077.0
3539,2002,jharkhand,garhwa,,72227.2458811,0.22,1,5216775047.568876,376793294067144.4
3540,2003,uttarakhand,garhwa,,38072.534036,0.22,1,1449517847.9223783,55186817600814.21
3541,2004,uttarakhand,garhwa,56.666668,43080.982865,0.22,1,1855971084.6144235,79957058494209.44
3542,2005,jharkhand,garhwa,,86858.7727437,0.22,1,7544446402.541722,655301355555396.4
3543,2006,jharkhand,garhwa,263.0,88314.3261633,0.22,1,7799420205.677733,688800539928855.6
3544,2007,jharkhand,garhwa,,107985.9699481,0.22,1,11660969705.631956,1259221124198077.0
3545,2008,jharkhand,garhwa,99.0,103643.8360002,0.22,1,10742044740.836353,1113346723426053.9
3546,2009,jharkhand,garhwa,28.0,113916.5552988,0.22,1,12976981571.144558,1478293038760797.5
3547,2010,jharkhand,garhwa,122.0,130488.9543595,0.22,1,17027367209.835674,2221883342706694.0
3548,2011,jharkhand,garhwa,122.0,137383.47,0.22,1,18874217829.240902,2593005538916982.5
3549,2012,jharkhand,garhwa,,149526.29,0.22,1,22358111401.1641,3343125449222770.0
3550,2013,jharkhand,garhwa,,150609.33,0.22,1,22683170283.048897,3416297078605904.5
3551,2014,jharkhand,garhwa,,170568.0,0.22,1,29093442624.0,4962410321490432.0
3552,2015,uttarakhand,garhwa,,136143.511531,0.22,1,18535055731.991528,2523427573776116.5
3553,2016,uttarakhand,garhwa,21.0,150302.942719,0.22,1,22590974589.990997,3395489959765802.0
3554,2017,jharkhand,garhwa,,191573.07,0.22,1,36700241149.2249,7030777866697343.0
3555,2018,jharkhand,garhwa,25.0,208701.46,0.22,1,43556299406.1316,9090263278256796.0
3556,2000,uttarpradesh,gautambuddhanagar,,351084.1089774,0.47,1,123260051576.45488,4.327464538022803e+16
3557,2001,uttarpradesh,gautambuddhanagar,104.0,357471.0467097,0.47,1,127785549235.72853,4.5679634039669784e+16
3558,2002,uttarpradesh,gautambuddhanagar,,369038.1836814,0.47,1,136189181014.86674,5.025900799878383e+16
3559,2003,uttarpradesh,gautambuddhanagar,,388468.8674867,0.47,1,150908061006.3993,5.862308355376977e+16
3560,2004,uttarpradesh,gautambuddhanagar,143.33333,407921.4919919,0.47,1,166399943628.89777,6.787811327246803e+16
3561,2005,uttarpradesh,gautambuddhanagar,,431731.0483276,0.47,1,186391698090.0485,8.047108321597816e+16
3562,2006,uttarpradesh,gautambuddhanagar,,466023.3283118,0.47,1,217177742530.80777,1.0120989440945019e+17
3563,2007,uttarpradesh,gautambuddhanagar,,495889.8633084,0.47,1,245906756532.02362,1.2194266788327718e+17
3564,2008,uttarpradesh,gautambuddhanagar,,533571.8096457,0.47,1,284698876048.58716,1.519072944973415e+17
3565,2009,uttarpradesh,gautambuddhanagar,,566760.9860888,0.47,1,321218015352.34894,1.820538391305846e+17
3566,2010,uttarpradesh,gautambuddhanagar,,612018.7067716,0.47,1,374566897438.38165,2.2924194816968883e+17
3567,2011,uttarpradesh,gautambuddhanagar,,645131.553217,0.47,1,416194720956.1789,2.6850034677117558e+17
3568,2012,uttarpradesh,gautambuddhanagar,,673552.189347,0.47,1,453672551774.1369,3.0557214049411014e+17
3569,2013,uttarpradesh,gautambuddhanagar,,707469.104121,0.47,1,500512533285.7704,3.540971535250162e+17
3570,2014,uttarpradesh,gautambuddhanagar,,729686.3008,0.47,1,532442097575.18805,3.885157045698316e+17
3571,2015,uttarpradesh,gautambuddhanagar,,792048.75936,0.47,1,627341237203.7152,4.968848486225701e+17
3572,2016,uttarpradesh,gautambuddhanagar,207.5,888453.00797,0.47,1,789348747370.9409,7.012992689390642e+17
3573,2017,uttarpradesh,gautambuddhanagar,,922457.512487,0.47,1,850927862343.7037,7.849447992034533e+17
3574,2018,uttarpradesh,gautambuddhanagar,106.35001,949184.454018,0.47,1,900951127749.4489,8.55168804289762e+17
3575,2000,bihar,gaya,,110614.8384025,0.21,1,12235642474.811188,1353443615102004.8
3576,2001,bihar,gaya,84.599998,104271.4311831,0.21,1,10872531360.971958,1133694405591684.0
3577,2002,bihar,gaya,,117457.1421273,0.21,1,13796180236.712753,1620459902877417.2
3578,2003,bihar,gaya,,109882.9860909,0.21,1,12074270632.252922,1326756911941610.2
3579,2004,bihar,gaya,,123786.1184561,0.21,1,15323003122.42762,1896775079616015.5
3580,2005,bihar,gaya,63.799999,120702.783321,0.21,1,14569161901.436275,1758538392157631.0
3581,2006,bihar,gaya,,141591.8828573,0.21,1,20048261291.075363,2838671064218484.5
3582,2007,bihar,gaya,74.0,148922.2741187,0.21,1,22177843728.685226,3302774923124953.0
3583,2008,bihar,gaya,86.875,171625.470485,0.21,1,29455302119.197605,5055280084485107.0
3584,2009,bihar,gaya,94.400002,179834.9465579,0.21,1,32340608003.482746,5815971511956313.0
3585,2010,bihar,gaya,96.75,207295.1926379,0.21,1,42971296890.78407,8907743266875478.0
3586,2011,bihar,gaya,53.0,228497.44453,0.21,1,52211082156.74043,1.193009884896107e+16
3587,2012,bihar,gaya,61.465332,236932.551245,0.21,1,56137033839.464554,1.3300690646911236e+16
3588,2013,bihar,gaya,63.433334,246914.742009,0.21,1,60966889821.37103,1.5053623871334958e+16
3589,2014,bihar,gaya,,255738.812159,0.21,1,65402340044.496284,1.6725916755398478e+16
3590,2015,bihar,gaya,,269199.601108,0.21,1,72468425236.7063,1.9508471166646256e+16
3591,2016,bihar,gaya,66.744118,289264.874311,0.21,1,83674167510.15863,2.420399754790359e+16
3592,2017,bihar,gaya,,312605.136484,0.21,1,97721971356.18028,3.0548390193284276e+16
3593,2018,bihar,gaya,,345545.451065,0.21,1,119401658751.7143,4.125870003127031e+16
3594,2000,uttarpradesh,ghaziabad,,351084.1089774,0.4,1,123260051576.45488,4.327464538022803e+16
3595,2001,uttarpradesh,ghaziabad,33.200001,357471.0467097,0.4,1,127785549235.72853,4.5679634039669784e+16
3596,2002,uttarpradesh,ghaziabad,,369038.1836814,0.4,1,136189181014.86674,5.025900799878383e+16
3597,2003,uttarpradesh,ghaziabad,,388468.8674867,0.4,1,150908061006.3993,5.862308355376977e+16
